price,hashrate,trials
62869.495587375786,155915066.0,25
63801.248885715184,155915066.0,25
62422.53055829017,155915066.0,25
61982.02523695105,155915066.0,25
63137.3029745524,155915066.0,25
64212.87690686015,155915066.0,25
61454.92804629285,155915066.0,25
62951.25147377559,155915066.0,25
62631.343977845914,155915066.0,25
63867.41526775052,155915066.0,25
62888.612737255695,155915066.0,25
61661.40800396596,155915066.0,25
61493.35947017396,155915066.0,25
61131.382230382005,155915066.0,25
61361.996771260034,155915066.0,25
60885.588883453835,159490741.36,25
60343.08553096327,159699030.48,25
62848.30185074299,159841647.56,25
62068.76430125128,159913439.48,25
63139.86298165551,159969082.2,25
62265.62229285864,160061988.08,25
61375.084779119294,160147814.88,25
62617.99837237677,162503722.32,25
62220.18389475358,162720637.56,25
61279.60730974472,162892704.32,25
59673.31786679763,162988832.56,25
60674.47367042657,163074387.6,25
56749.39917549654,163267619.88,25
55124.982404587696,163451060.84,25
55400.15826454336,166571946.32,25
54123.89951609809,167094006.6,25
55333.8449707558,167443251.64,25
54260.58129223517,167599749.96,25
53423.42631726843,167738412.12,25
51999.40310392563,167943387.44,25
50781.861276937125,168217355.32,25
52203.77575989929,168380114.2,25
51458.91051521774,169789288.44,25
50324.84124088055,170091164.04,25
49858.55722893874,170281577.4,25
48727.38199114125,170508523.72,25
48264.663255305495,170811405.56,25
48200.41061557848,171190401.68,25
47474.73484352036,175454483.84,25
46627.44458826218,176367545.48,25
46076.74062020697,176984318.28,25
46991.3511262665,177415053.56,25
46370.02362335274,177807070.24,25
45649.017120055476,178163680.52,25
45992.62641037177,181522536.44,25
44540.885725514134,181752389.28,25
44891.15520896845,182067608.88,25
44222.39936727758,182378450.32,25
44688.79618877749,182298950.64,25
43146.70837286044,182357828.6,25
43730.93313212263,182528931.12,25
41880.3138501476,182847926.92,25
42339.682689257344,185100938.24,25
42565.33062574324,186190863.76,25
40631.1245949862,186329323.36,25
40171.43282047537,186502203.2,25
39652.8521473981,186359271.52,25
40168.81879884592,186129725.04,25
39327.20589587524,186026945.56,25
38305.07647631556,187008291.8,25
39243.07421436889,187703336.08,25
39332.667790899424,188155478.92,25
38023.31275874287,188232116.4,25
37498.61349875888,187910270.48,25
37268.018711886,188061585.08,25
37974.108645235676,188040215.72,25
38776.51450160546,189484481.12,25
37692.46731042924,190269736.52,25
37062.96718835068,190411945.8,25
35985.2456410935,190637844.08,25
35407.08128462664,190574283.0,25
34776.49027223402,190646250.28,25
35341.674924765255,189792346.24,25
35077.9103991236,189940848.28,25
35495.43729604621,189932828.2,25
35682.50622798468,190109780.8,25
38162.5638759778,190011335.0,25
37460.29776710786,189871543.84,25
37374.20262690503,189588582.72,25
35930.65604240731,189321144.16,25
34786.360213495376,189598079.56,25
34590.64346018477,189606797.8,25
35607.45664793898,189755954.52,25
35694.8727352116,189915196.88,25
34389.274541079074,189910375.16,25
33472.97818742436,189931118.44,25
34083.806183935594,189724320.72,25
34515.48603303354,188373556.2,25
34349.89082438683,187864318.24,25
33743.01985094078,187893672.6,25
32424.045115978195,187749861.56,25
32201.99213116615,187699689.28,25
32341.630499131523,188665650.56,25
30606.660861601544,187996551.6,25
30514.821803635903,188496596.0,25
31173.742603272844,188618037.16,25
